SellerID,UserID,USER_TYPE,CompanyName,ContactFName,ContactLName,ContactPosition,Phone,Email,Logo
S6283,U2837,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6284,U2838,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6285,U2839,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6286,U2840,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6287,U2841,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6288,U2842,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6289,U2843,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6290,U2844,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6291,U2845,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6292,U2846,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6293,U2847,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6294,U2848,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6295,U2849,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6296,U2850,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6297,U2851,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6298,U2852,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6299,U2853,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6300,U2854,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6301,U2855,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6302,U2856,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6303,U2857,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6304,U2858,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6305,U2859,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6306,U2860,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6307,U2861,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6308,U2862,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6309,U2863,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6310,U2864,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6311,U2865,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6312,U2866,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6313,U2867,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6314,U2868,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6315,U2869,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6316,U2870,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6317,U2871,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6318,U2872,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6319,U2873,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6320,U2874,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6321,U2875,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6322,U2876,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6323,U2877,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6324,U2878,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6325,U2879,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6326,U2880,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6327,U2881,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6328,U2882,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6329,U2883,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6330,U2884,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6331,U2885,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6332,U2886,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6333,U2887,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6334,U2888,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6335,U2889,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6336,U2890,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6337,U2891,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6338,U2892,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6339,U2893,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6340,U2894,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6341,U2895,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6342,U2896,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6343,U2897,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6344,U2898,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6345,U2899,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6346,U2900,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6347,U2901,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6348,U2902,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6349,U2903,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6350,U2904,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6351,U2905,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6352,U2906,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6353,U2907,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6354,U2908,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6355,U2909,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6356,U2910,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6357,U2911,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6358,U2912,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6359,U2913,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6360,U2914,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6361,U2915,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6362,U2916,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6363,U2917,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6364,U2918,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
