UserID,UserFName,UserLName,USER_TYPE,DateCreated,Password
US2874,Jack,Smith,B,2022-05-25,JackSmith
US2875,Nancy,Book,S,2022-05-26,NancyBook
US2876,Georges,Bienvenu,O,2022-05-27,GeorgesBienvenu
US2877,Ginette,Beauregard,T,2022-05-28,GinetteBeauregard
US2878,Elise,Fort,B,2022-05-29,EliseFort
US2879,Red,Forman,S,2022-05-30,RedForman
US2880,Sean,Romero,O,2022-05-31,SeanRomero
US2881,Yung,Xi,T,2022-06-01,YungXi
US2882,Georges,Bienvenu,B,2022-06-02,GeorgesBienvenu
US2883,Red,Forman,S,2022-06-03,RedForman
US2884,Sarah,Mansour,O,2022-06-04,SarahMansour
US2885,Daniel,Dam,T,2022-06-05,DanielDam
US2886,Taylor,Swing,B,2022-06-06,TaylorSwing
US2887,Daniel,Smith,S,2022-06-07,DanielSmith
US2888,Taylor,Book,O,2022-06-08,TaylorBook
US2889,Daniel,Bienvenu,T,2022-06-09,DanielBienvenu
US2890,Taylor,Beauregard,B,2022-06-10,TaylorBeauregard
US2891,Daniel,Fort,S,2022-06-11,DanielFort
US2892,Taylor,Forman,O,2022-06-12,TaylorForman
US2893,Daniel,Romero,T,2022-06-13,DanielRomero
US2894,Taylor,Xi,B,2022-06-14,TaylorXi
US2895,Daniel,Bienvenu,S,2022-06-15,DanielBienvenu
US2896,Taylor,Forman,O,2022-06-16,TaylorForman
US2897,Daniel,Mansour,T,2022-06-17,DanielMansour
US2898,Taylor,Dam,B,2022-06-18,TaylorDam
US2899,Daniel,Swing,S,2022-06-19,DanielSwing
US2900,Taylor,Smith,O,2022-06-20,TaylorSmith
US2901,Daniel,Book,T,2022-06-21,DanielBook
US2902,Taylor,Bienvenu,B,2022-06-22,TaylorBienvenu
US2903,Daniel,Beauregard,S,2022-06-23,DanielBeauregard
US2904,Taylor,Fort,O,2022-06-24,TaylorFort
US2905,Daniel,Forman,T,2022-06-25,DanielForman
US2906,Taylor,Romero,B,2022-06-26,TaylorRomero
US2907,Daniel,Xi,S,2022-06-27,DanielXi
US2908,Taylor,Bienvenu,O,2022-06-28,TaylorBienvenu
US2909,Daniel,Forman,T,2022-06-29,DanielForman
